"country","sex","age_group","age_mean","year_mean","years_post_int","outcome","mean_alcohol","mean_sir","pif_joint","se","l","u"
"India","Female","35-39",37.5,12.5,"10-14 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","35-39",37.5,12.5,"10-14 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","35-39",37.5,12.5,"10-14 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
"India","Female","35-39",37.5,12.5,"10-14 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","35-39",37.5,17.5,"15-19 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","35-39",37.5,17.5,"15-19 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","35-39",37.5,17.5,"15-19 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
"India","Female","35-39",37.5,17.5,"15-19 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","35-39",37.5,2.5,"0-4 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","35-39",37.5,2.5,"0-4 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","35-39",37.5,2.5,"0-4 years","other_pharyngeal_cancers",0,0,0,NA,NA,NA
"India","Female","35-39",37.5,2.5,"0-4 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","35-39",37.5,22.5,"20-24 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","35-39",37.5,22.5,"20-24 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","35-39",37.5,22.5,"20-24 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
"India","Female","35-39",37.5,22.5,"20-24 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","35-39",37.5,27.5,"25-29 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","35-39",37.5,27.5,"25-29 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","35-39",37.5,27.5,"25-29 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
"India","Female","35-39",37.5,27.5,"25-29 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","35-39",37.5,7.5,"5-9 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","35-39",37.5,7.5,"5-9 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","35-39",37.5,7.5,"5-9 years","other_pharyngeal_cancers",0,0,0,NA,NA,NA
"India","Female","35-39",37.5,7.5,"5-9 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","40-44",42.5,12.5,"10-14 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","40-44",42.5,12.5,"10-14 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","40-44",42.5,12.5,"10-14 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
"India","Female","40-44",42.5,12.5,"10-14 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","40-44",42.5,17.5,"15-19 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","40-44",42.5,17.5,"15-19 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","40-44",42.5,17.5,"15-19 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
"India","Female","40-44",42.5,17.5,"15-19 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","40-44",42.5,2.5,"0-4 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","40-44",42.5,2.5,"0-4 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","40-44",42.5,2.5,"0-4 years","other_pharyngeal_cancers",0,0,0,NA,NA,NA
"India","Female","40-44",42.5,2.5,"0-4 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","40-44",42.5,22.5,"20-24 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","40-44",42.5,22.5,"20-24 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","40-44",42.5,22.5,"20-24 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
"India","Female","40-44",42.5,22.5,"20-24 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","40-44",42.5,27.5,"25-29 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","40-44",42.5,27.5,"25-29 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","40-44",42.5,27.5,"25-29 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
"India","Female","40-44",42.5,27.5,"25-29 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","40-44",42.5,7.5,"5-9 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","40-44",42.5,7.5,"5-9 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","40-44",42.5,7.5,"5-9 years","other_pharyngeal_cancers",0,0,0,NA,NA,NA
"India","Female","40-44",42.5,7.5,"5-9 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","45-49",47.5,12.5,"10-14 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","45-49",47.5,12.5,"10-14 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","45-49",47.5,12.5,"10-14 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
"India","Female","45-49",47.5,12.5,"10-14 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","45-49",47.5,17.5,"15-19 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","45-49",47.5,17.5,"15-19 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","45-49",47.5,17.5,"15-19 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
"India","Female","45-49",47.5,17.5,"15-19 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","45-49",47.5,2.5,"0-4 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","45-49",47.5,2.5,"0-4 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","45-49",47.5,2.5,"0-4 years","other_pharyngeal_cancers",0,0,0,NA,NA,NA
"India","Female","45-49",47.5,2.5,"0-4 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","45-49",47.5,22.5,"20-24 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","45-49",47.5,22.5,"20-24 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","45-49",47.5,22.5,"20-24 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
"India","Female","45-49",47.5,22.5,"20-24 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","45-49",47.5,27.5,"25-29 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","45-49",47.5,27.5,"25-29 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","45-49",47.5,27.5,"25-29 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
"India","Female","45-49",47.5,27.5,"25-29 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","45-49",47.5,7.5,"5-9 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","45-49",47.5,7.5,"5-9 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","45-49",47.5,7.5,"5-9 years","other_pharyngeal_cancers",0,0,0,NA,NA,NA
"India","Female","45-49",47.5,7.5,"5-9 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","50-54",52.5,12.5,"10-14 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","50-54",52.5,12.5,"10-14 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","50-54",52.5,12.5,"10-14 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
"India","Female","50-54",52.5,12.5,"10-14 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","50-54",52.5,17.5,"15-19 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","50-54",52.5,17.5,"15-19 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","50-54",52.5,17.5,"15-19 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
"India","Female","50-54",52.5,17.5,"15-19 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","50-54",52.5,2.5,"0-4 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","50-54",52.5,2.5,"0-4 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","50-54",52.5,2.5,"0-4 years","other_pharyngeal_cancers",0,0,0,NA,NA,NA
"India","Female","50-54",52.5,2.5,"0-4 years","tuberculosis",0.0029915447037253,0,0.00299154470372531,NA,NA,NA
"India","Female","50-54",52.5,22.5,"20-24 years","intracerebral_haemorrhage",0.00206481205251244,0,0.00206481205251241,NA,NA,NA
"India","Female","50-54",52.5,22.5,"20-24 years","ischaemic_stroke",0.00199303594854177,0,0.00199303594854172,NA,NA,NA
"India","Female","50-54",52.5,22.5,"20-24 years","other_pharyngeal_cancers",0.00401493658233659,0,0.00401493658233654,NA,NA,NA
