"country","sex","age_group","age_mean","year_mean","years_post_int","outcome","mean","se","l","u"
"India","Female","35-39",37.5,2.5,"0-4 years","cervix_uter_cancer",0,0,0,0
"India","Female","35-39",37.5,7.5,"5-9 years","cervix_uter_cancer",0,0,0,0
"India","Female","35-39",37.5,12.5,"10-14 years","cervix_uter_cancer",0,0,0,0
"India","Female","35-39",37.5,17.5,"15-19 years","cervix_uter_cancer",0,0,0,0
"India","Female","35-39",37.5,22.5,"20-24 years","cervix_uter_cancer",0,0,0,0
"India","Female","35-39",37.5,27.5,"25-29 years","cervix_uter_cancer",0,0,0,0
"India","Female","40-44",42.5,2.5,"0-4 years","cervix_uter_cancer",0,0,0,0
"India","Female","40-44",42.5,7.5,"5-9 years","cervix_uter_cancer",0,0,0,0
"India","Female","40-44",42.5,12.5,"10-14 years","cervix_uter_cancer",0,0,0,0
"India","Female","40-44",42.5,17.5,"15-19 years","cervix_uter_cancer",0,0,0,0
"India","Female","40-44",42.5,22.5,"20-24 years","cervix_uter_cancer",0,0,0,0
"India","Female","40-44",42.5,27.5,"25-29 years","cervix_uter_cancer",0,0,0,0
"India","Female","45-49",47.5,2.5,"0-4 years","cervix_uter_cancer",0,0,0,0
"India","Female","45-49",47.5,7.5,"5-9 years","cervix_uter_cancer",0,0,0,0
"India","Female","45-49",47.5,12.5,"10-14 years","cervix_uter_cancer",0,0,0,0
"India","Female","45-49",47.5,17.5,"15-19 years","cervix_uter_cancer",0,0,0,0
"India","Female","45-49",47.5,22.5,"20-24 years","cervix_uter_cancer",0,0,0,0
"India","Female","45-49",47.5,27.5,"25-29 years","cervix_uter_cancer",0,0,0,0
"India","Female","50-54",52.5,2.5,"0-4 years","cervix_uter_cancer",0,0,0,0
"India","Female","50-54",52.5,7.5,"5-9 years","cervix_uter_cancer",0,0,0,0
"India","Female","50-54",52.5,12.5,"10-14 years","cervix_uter_cancer",0,0,0,0
"India","Female","50-54",52.5,17.5,"15-19 years","cervix_uter_cancer",0,0,0,0
"India","Female","50-54",52.5,22.5,"20-24 years","cervix_uter_cancer",0,0,0,0
"India","Female","50-54",52.5,27.5,"25-29 years","cervix_uter_cancer",0,0,0,0
"India","Female","55-59",57.5,2.5,"0-4 years","cervix_uter_cancer",0.000178893100893164,7.30406648267766e-05,4.10515000034658e-05,0.000322291323330742
"India","Female","55-59",57.5,7.5,"5-9 years","cervix_uter_cancer",0.000434454673597686,0.000177384471722172,9.9696500008417e-05,0.000782707499517516
"India","Female","55-59",57.5,12.5,"10-14 years","cervix_uter_cancer",0.000579272898130248,0.000236512628962896,0.00013292866667789,0.00104360999935669
"India","Female","55-59",57.5,17.5,"15-19 years","cervix_uter_cancer",0.000692145926074744,0.000282597810341696,0.000158830208346743,0.00124696047717251
"India","Female","55-59",57.5,22.5,"20-24 years","cervix_uter_cancer",0.000745387920388186,0.000304336103444903,0.000171047916681108,0.00134288051387809
"India","Female","55-59",57.5,27.5,"25-29 years","cervix_uter_cancer",0.000796500234929091,0.000325204864823982,0.000182776916682098,0.00143496374911545
"India","Female","60-64",62.5,2.5,"0-4 years","cervix_uter_cancer",0.000266001164339154,0.000106725287545487,4.44141962799345e-05,0.000461845950740449
"India","Female","60-64",62.5,7.5,"5-9 years","cervix_uter_cancer",0.000646002827680806,0.000259189984039042,0.000107863048108413,0.00112162588036966
"India","Female","60-64",62.5,12.5,"10-14 years","cervix_uter_cancer",0.000861337103574409,0.000345586645385389,0.000143817397477883,0.00149550117382622
