"country","sex","age_group","age_mean","year_mean","years_post_int","outcome","mean","se","l","u"
"India","Male","35-39",37.5,2.5,"0-4 years","COPD",0.0407101470551181,0.00120902494771496,0.0381066482758907,0.0427298583293594
"India","Male","35-39",37.5,7.5,"5-9 years","COPD",0.111067901204725,0.00329853545517887,0.103964877361397,0.116578200442057
"India","Male","35-39",37.5,12.5,"10-14 years","COPD",0.143813019488189,0.0042710120435583,0.13461587706157,0.150947869098281
"India","Male","35-39",37.5,17.5,"15-19 years","COPD",0.15576056264567,0.00462583458256161,0.145799349925147,0.163488153607984
"India","Male","35-39",37.5,22.5,"20-24 years","COPD",0.166380601007874,0.00494123239500898,0.155740214692771,0.174635073172165
"India","Male","35-39",37.5,27.5,"25-29 years","COPD",0.169035610598425,0.00502008184812083,0.158225430884677,0.17742180306321
"India","Male","40-44",42.5,2.5,"0-4 years","COPD",0.00153985238474513,0.000199935723710249,0.00115055123070204,0.00191729975884733
"India","Male","40-44",42.5,7.5,"5-9 years","COPD",0.00420111900620682,0.000545476811426876,0.00313900390115448,0.00523089390728999
"India","Male","40-44",42.5,12.5,"10-14 years","COPD",0.00543969592437138,0.000706294676150338,0.00406444728237133,0.00677306980027589
"India","Male","40-44",42.5,17.5,"15-19 years","COPD",0.00589160912424224,0.00076497146463052,0.0044021090565991,0.00733575559906804
"India","Male","40-44",42.5,22.5,"20-24 years","COPD",0.00629330974634966,0.000817128609946237,0.00470225285591268,0.00783592075354995
"India","Male","40-44",42.5,27.5,"25-29 years","COPD",0.00639373490187652,0.000830167896275167,0.00477728880574108,0.00796096204217043
"India","Male","45-49",47.5,2.5,"0-4 years","COPD",0.0212093354223308,0.00171690128803715,0.0175233029846531,0.0243370649885345
"India","Male","45-49",47.5,7.5,"5-9 years","COPD",0.0578645999022286,0.00468415460105787,0.0478081418385644,0.0663978620882844
"India","Male","45-49",47.5,12.5,"10-14 years","COPD",0.0749242827419297,0.00606514041969645,0.0619029725001332,0.0859733274051492
"India","Male","45-49",47.5,17.5,"15-19 years","COPD",0.0811487616158746,0.00656901362379431,0.0670456809847597,0.0931157269126538
"India","Male","45-49",47.5,22.5,"20-24 years","COPD",0.086681631726048,0.00701690091632574,0.0716169774155388,0.0994645264748802
"India","Male","45-49",47.5,27.5,"25-29 years","COPD",0.0880648492535911,0.00712887273945859,0.0727598015232335,0.101051726365437
"India","Male","50-54",52.5,2.5,"0-4 years","COPD",0.02018429407759,0.00161942051385934,0.0168481841152103,0.0230633881813687
"India","Male","50-54",52.5,7.5,"5-9 years","COPD",0.0550680197116856,0.00441820161933363,0.0459662414447585,0.062922939494821
"India","Male","50-54",52.5,12.5,"10-14 years","COPD",0.0713032127740948,0.00572077898917701,0.0595180417113407,0.0814739256407045
"India","Male","50-54",52.5,17.5,"15-19 years","COPD",0.0772268642968659,0.00619604370520094,0.0644626174842828,0.0882425286939322
"India","Male","50-54",52.5,22.5,"20-24 years","COPD",0.0824923323171066,0.00661850123055555,0.0688577959491203,0.0942590647412457
"India","Male","50-54",52.5,27.5,"25-29 years","COPD",0.0838086993221668,0.00672411561189421,0.0699565905653297,0.0957631987530742
"India","Male","55-59",57.5,2.5,"0-4 years","COPD",0.0215915694648837,0.00165370567955287,0.0180602391844778,0.0245190102632474
"India","Male","55-59",57.5,7.5,"5-9 years","COPD",0.0589074340835415,0.00451174049530186,0.0492730438619993,0.066894256261686
"India","Male","55-59",57.5,12.5,"10-14 years","COPD",0.0762745660444262,0.00584189506363786,0.0637997579886446,0.0866160688647328
"India","Male","55-59",57.5,17.5,"15-19 years","COPD",0.0826112223004247,0.00632722173046317,0.0691000455753935,0.0938118653550337
"India","Male","55-59",57.5,22.5,"20-24 years","COPD",0.08824380563909,0.00675862321208565,0.0738114123191703,0.100208128901968
"India","Male","55-59",57.5,27.5,"25-29 years","COPD",0.0896519514737563,0.00686647358249128,0.0749892540051145,0.101807194788701
"India","Male","60-64",62.5,2.5,"0-4 years","COPD",0.0194415980272656,0.00161212881867239,0.0160121803791227,0.0223908700555346
"India","Male","60-64",62.5,7.5,"5-9 years","COPD",0.0530417511396053,0.00439830797268228,0.0436854051647803,0.0610881346080346
"India","Male","60-64",62.5,12.5,"10-14 years","COPD",0.0686795582484928,0.00569502028335355,0.0565647676436398,0.0790981822613994
"India","Male","60-64",62.5,17.5,"15-19 years","COPD",0.0743852446260599,0.00616814504535523,0.0612639944940345,0.0856694158646541
"India","Male","60-64",62.5,22.5,"20-24 years","COPD",0.079456965850564,0.00658870038935672,0.0654410850277187,0.0915105124008805
"India","Male","60-64",62.5,27.5,"25-29 years","COPD",0.08072489615669,0.0066938392253571,0.0664853576611397,0.0929707865349371
"India","Male","65-69",67.5,2.5,"0-4 years","COPD",0.0184645153502289,0.00159623160362808,0.0152026737550825,0.0212913528375232
"India","Male","65-69",67.5,7.5,"5-9 years","COPD",0.0503760147055157,0.00435493622294183,0.0414768599187576,0.0580883648067208
"India","Male","65-69",67.5,12.5,"10-14 years","COPD",0.0652279074872215,0.00563886164325138,0.0537050975043674,0.075214018176033
"India","Male","65-69",67.5,17.5,"15-19 years","COPD",0.0706468413400061,0.00610732091822919,0.0581667517585764,0.0814625673783495
"India","Male","65-69",67.5,22.5,"20-24 years","COPD",0.0754636714313701,0.00652372916265391,0.0621326666512066,0.0870168333359642
"India","Male","65-69",67.5,27.5,"25-29 years","COPD",0.0766678789542112,0.00662783122376008,0.0631241453743641,0.0884053998253679
"India","Male","70-74",72.5,2.5,"0-4 years","COPD",0.0149498912383073,0.00141495297408901,0.0120928685342777,0.0173997456139434
"India","Male","70-74",72.5,7.5,"5-9 years","COPD",0.0407872032697299,0.00386036083148198,0.0329925000228663,0.0474710450989109
"India","Male","70-74",72.5,12.5,"10-14 years","COPD",0.0528121157874989,0.00499847518020575,0.0427193725395679,0.0614664926579523
"India","Male","70-74",72.5,17.5,"15-19 years","COPD",0.0571995838683064,0.00541373311825361,0.046268366565932,0.0665729397403053
"India","Male","70-74",72.5,22.5,"20-24 years","COPD",0.0610995554956909,0.00578285128540727,0.0494230279227001,0.0711120038135079
"India","Male","70-74",72.5,27.5,"25-29 years","COPD",0.0620745484025371,0.00587513082719568,0.0502116932618921,0.0722467698318086
"India","Male","75-79",77.5,2.5,"0-4 years","COPD",0.00900834173123728,0.000967747388778345,0.0071202480310601,0.0108976734747014
"India","Male","75-79",77.5,7.5,"5-9 years","COPD",0.0245771062450061,0.00264026733242788,0.0194258940847401,0.0297316961103267
"India","Male","75-79",77.5,12.5,"10-14 years","COPD",0.0318229463331752,0.00341867284079307,0.0251530501097232,0.0384972160791083
"India","Male","75-79",77.5,17.5,"15-19 years","COPD",0.0344666987977775,0.0037026856614128,0.0272426881188386,0.041695446337988
"India","Male","75-79",77.5,22.5,"20-24 years","COPD",0.036816700988535,0.00395514150196367,0.0291001441269413,0.0445383176792145
"India","Male","75-79",77.5,27.5,"25-29 years","COPD",0.0374042015362244,0.00401825546210139,0.0295645081289669,0.0452490355145211
"India","Male","80+",84.91,2.5,"0-4 years","COPD",0.00641214840932738,0.000762001105207136,0.00485442876746203,0.00789131059412197
"India","Male","80+",84.91,7.5,"5-9 years","COPD",0.0174940135950127,0.00207893779790208,0.0132441480503584,0.0215295539035285
"India","Male","80+",84.91,12.5,"10-14 years","COPD",0.0226516112286022,0.0026918517303513,0.0171487972763604,0.0278769124248875
"India","Male","80+",84.91,17.5,"15-19 years","COPD",0.0245334373922091,0.00291548248948817,0.0185734665885504,0.030192840534032
"India","Male","80+",84.91,22.5,"20-24 years","COPD",0.0262061717598597,0.00311426538649873,0.019839839310497,0.0322514432977159
"India","Male","80+",84.91,27.5,"25-29 years","COPD",0.0266243553517724,0.00316396111075137,0.0201564324909836,0.032766093988637
"India","Male","35-39",37.5,2.5,"0-4 years","diabetes",0.00747302100171638,0.00301836845161522,0.0005339414108163,0.0127144990810198
"India","Male","35-39",37.5,7.5,"5-9 years","diabetes",0.0128213595617683,0.00517857332384964,0.000916075949929922,0.0218140915605732
"India","Male","35-39",37.5,12.5,"10-14 years","diabetes",0.0146529823563066,0.00591836951297102,0.00104694394277705,0.0249303903549408
"India","Male","35-39",37.5,17.5,"15-19 years","diabetes",0.0146529823563066,0.00591836951297102,0.00104694394277705,0.0249303903549408
"India","Male","35-39",37.5,22.5,"20-24 years","diabetes",0.0146529823563066,0.00591836951297102,0.00104694394277705,0.0249303903549408
"India","Male","35-39",37.5,27.5,"25-29 years","diabetes",0.0146529823563066,0.00591836951297102,0.00104694394277705,0.0249303903549408
"India","Male","40-44",42.5,2.5,"0-4 years","diabetes",7.09059397562904e-05,3.17130303242227e-05,1.16257892844859e-05,0.000133942562839728
"India","Male","40-44",42.5,7.5,"5-9 years","diabetes",0.000121652347621087,5.44096108503821e-05,1.99462071057356e-05,0.000229803416636789
"India","Male","40-44",42.5,12.5,"10-14 years","diabetes",0.000139031254424099,6.21824124004367e-05,2.27956652636979e-05,0.00026263247615633
"India","Male","40-44",42.5,17.5,"15-19 years","diabetes",0.000139031254424099,6.21824124004367e-05,2.27956652636979e-05,0.00026263247615633
"India","Male","40-44",42.5,22.5,"20-24 years","diabetes",0.000139031254424099,6.21824124004367e-05,2.27956652636979e-05,0.00026263247615633
"India","Male","40-44",42.5,27.5,"25-29 years","diabetes",0.000139031254424099,6.21824124004367e-05,2.27956652636979e-05,0.00026263247615633
"India","Male","45-49",47.5,2.5,"0-4 years","diabetes",0.00159301382392349,0.000683668405303627,0.000215542246325063,0.00288537367792062
"India","Male","45-49",47.5,7.5,"5-9 years","diabetes",0.00273311195280991,0.00117296049929544,0.000369802873596922,0.00495039601604027
"India","Male","45-49",47.5,12.5,"10-14 years","diabetes",0.00312355651749704,0.00134052628490907,0.000422631855539339,0.00565759544690317
"India","Male","45-49",47.5,17.5,"15-19 years","diabetes",0.00312355651749704,0.00134052628490907,0.000422631855539339,0.00565759544690317
"India","Male","45-49",47.5,22.5,"20-24 years","diabetes",0.00312355651749704,0.00134052628490907,0.000422631855539339,0.00565759544690317
"India","Male","45-49",47.5,27.5,"25-29 years","diabetes",0.00312355651749704,0.00134052628490907,0.000422631855539339,0.00565759544690317
"India","Male","50-54",52.5,2.5,"0-4 years","diabetes",0.00145835252589627,0.000629195692335869,0.000269363488504864,0.00274591297469065
"India","Male","50-54",52.5,7.5,"5-9 years","diabetes",0.00250207541207692,0.00107950241332134,0.000462143240081876,0.00471112520167514
"India","Male","50-54",52.5,12.5,"10-14 years","diabetes",0.00285951475665934,0.00123371704379582,0.000528163702950715,0.00538414308762873
"India","Male","50-54",52.5,17.5,"15-19 years","diabetes",0.00285951475665934,0.00123371704379582,0.000528163702950715,0.00538414308762873
"India","Male","50-54",52.5,22.5,"20-24 years","diabetes",0.00285951475665934,0.00123371704379582,0.000528163702950715,0.00538414308762873
"India","Male","50-54",52.5,27.5,"25-29 years","diabetes",0.00285951475665934,0.00123371704379582,0.000528163702950715,0.00538414308762873
"India","Male","55-59",57.5,2.5,"0-4 years","diabetes",0.00163754887526257,0.000677747169375974,0.000305967917737027,0.0029646492203818
"India","Male","55-59",57.5,7.5,"5-9 years","diabetes",0.00280952012912695,0.00116280151608623,0.000524944956901762,0.00508640797614525
"India","Male","55-59",57.5,12.5,"10-14 years","diabetes",0.00321088014757366,0.00132891601838426,0.000599937093602013,0.00581303768702314
"India","Male","55-59",57.5,17.5,"15-19 years","diabetes",0.00321088014757366,0.00132891601838426,0.000599937093602013,0.00581303768702314
"India","Male","55-59",57.5,22.5,"20-24 years","diabetes",0.00321088014757366,0.00132891601838426,0.000599937093602013,0.00581303768702314
"India","Male","55-59",57.5,27.5,"25-29 years","diabetes",0.00321088014757366,0.00132891601838426,0.000599937093602013,0.00581303768702314
"India","Male","60-64",62.5,2.5,"0-4 years","diabetes",0.00136497371609989,0.000602673618671009,0.000179406194562902,0.00258129795957901
"India","Male","60-64",62.5,7.5,"5-9 years","diabetes",0.00234186666977923,0.00103399885556301,0.000307804745573606,0.00442869747966986
"India","Male","60-64",62.5,12.5,"10-14 years","diabetes",0.00267641905117626,0.00118171297778629,0.000351776852084121,0.00506136854819413
"India","Male","60-64",62.5,17.5,"15-19 years","diabetes",0.00267641905117626,0.00118171297778629,0.000351776852084121,0.00506136854819413
"India","Male","60-64",62.5,22.5,"20-24 years","diabetes",0.00267641905117626,0.00118171297778629,0.000351776852084121,0.00506136854819413
"India","Male","60-64",62.5,27.5,"25-29 years","diabetes",0.00267641905117626,0.00118171297778629,0.000351776852084121,0.00506136854819413
"India","Male","65-69",67.5,2.5,"0-4 years","diabetes",0.00125854169813622,0.000564637589270443,0.000109306912760269,0.00233516333790588
"India","Male","65-69",67.5,7.5,"5-9 years","diabetes",0.00215926271739058,0.000968740961983603,0.000187536369931833,0.00400640768758361
"India","Male","65-69",67.5,12.5,"10-14 years","diabetes",0.00246772881987494,0.00110713252798126,0.000214327279922095,0.0045787516429527
"India","Male","65-69",67.5,17.5,"15-19 years","diabetes",0.00246772881987494,0.00110713252798126,0.000214327279922095,0.0045787516429527
"India","Male","65-69",67.5,22.5,"20-24 years","diabetes",0.00246772881987494,0.00110713252798126,0.000214327279922095,0.0045787516429527
"India","Male","65-69",67.5,27.5,"25-29 years","diabetes",0.00246772881987494,0.00110713252798126,0.000214327279922095,0.0045787516429527
"India","Male","70-74",72.5,2.5,"0-4 years","diabetes",0.000921643145441558,0.000402661175177481,0.000147664142741595,0.00173797742639127
"India","Male","70-74",72.5,7.5,"5-9 years","diabetes",0.00158125049463013,0.000690840251529992,0.00025334534293901,0.00298182401586737
"India","Male","70-74",72.5,12.5,"10-14 years","diabetes",0.00180714342243443,0.000789531716034277,0.00028953753478744,0.00340779887527699
"India","Male","70-74",72.5,17.5,"15-19 years","diabetes",0.00180714342243443,0.000789531716034277,0.00028953753478744,0.00340779887527699
"India","Male","70-74",72.5,22.5,"20-24 years","diabetes",0.00180714342243443,0.000789531716034277,0.00028953753478744,0.00340779887527699
"India","Male","70-74",72.5,27.5,"25-29 years","diabetes",0.00180714342243443,0.000789531716034277,0.00028953753478744,0.00340779887527699
"India","Male","75-79",77.5,2.5,"0-4 years","diabetes",0.000485279698361012,0.000205861406858168,7.00739088759633e-05,0.00087095262411483
"India","Male","75-79",77.5,7.5,"5-9 years","diabetes",0.000832587717776247,0.000353193590197837,0.000120224843659741,0.00149428146294211
"India","Male","75-79",77.5,12.5,"10-14 years","diabetes",0.000951528820315709,0.000403649817368957,0.000137399821325418,0.00170775024336241
"India","Male","75-79",77.5,17.5,"15-19 years","diabetes",0.000951528820315709,0.000403649817368957,0.000137399821325418,0.00170775024336241
"India","Male","75-79",77.5,22.5,"20-24 years","diabetes",0.000951528820315709,0.000403649817368957,0.000137399821325418,0.00170775024336241
"India","Male","75-79",77.5,27.5,"25-29 years","diabetes",0.000951528820315709,0.000403649817368957,0.000137399821325418,0.00170775024336241
"India","Male","80+",84.91,2.5,"0-4 years","diabetes",0.000328307737359154,0.000141770568759308,5.75598601534885e-05,0.000616178578680743
"India","Male","80+",84.91,7.5,"5-9 years","diabetes",0.000563273078802471,0.000243233818949793,9.87546620280439e-05,0.00105716913008951
"India","Male","80+",84.91,12.5,"10-14 years","diabetes",0.000643740661488537,0.000277981507371192,0.000112862470889193,0.00120819329153087
"India","Male","80+",84.91,17.5,"15-19 years","diabetes",0.000643740661488537,0.000277981507371192,0.000112862470889193,0.00120819329153087
"India","Male","80+",84.91,22.5,"20-24 years","diabetes",0.000643740661488537,0.000277981507371192,0.000112862470889193,0.00120819329153087
"India","Male","80+",84.91,27.5,"25-29 years","diabetes",0.000643740661488537,0.000277981507371192,0.000112862470889193,0.00120819329153087
"India","Male","35-39",37.5,2.5,"0-4 years","IHD",0.0246615257202172,0.00754073873279243,0.00517770867939563,0.0349027654494171
"India","Male","35-39",37.5,7.5,"5-9 years","IHD",0.0423114411866473,0.0129375419435164,0.00888332371464937,0.0598821956239999
"India","Male","35-39",37.5,12.5,"10-14 years","IHD",0.0483559327847396,0.0147857622211616,0.0101523699595993,0.0684367949988571
"India","Male","35-39",37.5,17.5,"15-19 years","IHD",0.0483559327847396,0.0147857622211616,0.0101523699595993,0.0684367949988571
"India","Male","35-39",37.5,22.5,"20-24 years","IHD",0.0483559327847396,0.0147857622211616,0.0101523699595993,0.0684367949988571
"India","Male","35-39",37.5,27.5,"25-29 years","IHD",0.0483559327847396,0.0147857622211616,0.0101523699595993,0.0684367949988571
"India","Male","40-44",42.5,2.5,"0-4 years","IHD",0.0003588447622028,0.00016817002553978,2.63051565359323e-05,0.000700689214087854
"India","Male","40-44",42.5,7.5,"5-9 years","IHD",0.000615665033191077,0.000288527004602564,4.51313960175309e-05,0.00120216286730759
"India","Male","40-44",42.5,12.5,"10-14 years","IHD",0.000703617180789802,0.000329745148117216,5.15787383057496e-05,0.0013739004197801
"India","Male","40-44",42.5,17.5,"15-19 years","IHD",0.000703617180789802,0.000329745148117216,5.15787383057496e-05,0.0013739004197801
"India","Male","40-44",42.5,22.5,"20-24 years","IHD",0.000703617180789802,0.000329745148117216,5.15787383057496e-05,0.0013739004197801
"India","Male","40-44",42.5,27.5,"25-29 years","IHD",0.000703617180789802,0.000329745148117216,5.15787383057496e-05,0.0013739004197801
"India","Male","45-49",47.5,2.5,"0-4 years","IHD",0.00602019075556653,0.00307516083769302,0,0.0117185992579794
"India","Male","45-49",47.5,7.5,"5-9 years","IHD",0.0103287586492563,0.00527601124113998,0,0.0201054399033961
"India","Male","45-49",47.5,12.5,"10-14 years","IHD",0.0118042955991501,0.0060297271327314,0,0.0229776456038812
"India","Male","45-49",47.5,17.5,"15-19 years","IHD",0.0118042955991501,0.0060297271327314,0,0.0229776456038812
"India","Male","45-49",47.5,22.5,"20-24 years","IHD",0.0118042955991501,0.0060297271327314,0,0.0229776456038812
"India","Male","45-49",47.5,27.5,"25-29 years","IHD",0.0118042955991501,0.0060297271327314,0,0.0229776456038812
"India","Male","50-54",52.5,2.5,"0-4 years","IHD",0.00487743373912397,0.00284960087804959,0,0.0103954727635607
