"country","sex","age_group","age_mean","year_mean","years_post_int","outcome","mean","se","l","u"
"India","Male","35-39",37.5,2.5,"0-4 years","COPD",0.021665134924006,0.00164587512238031,0.0182650207992034,0.0245678146900034
"India","Male","35-39",37.5,7.5,"5-9 years","COPD",0.0591081398470164,0.00449037669258105,0.0498317415282613,0.0670274074694657
"India","Male","35-39",37.5,12.5,"10-14 years","COPD",0.0765344440250214,0.00581423276927826,0.0645231713015335,0.086788475807077
"India","Male","35-39",37.5,17.5,"15-19 years","COPD",0.082892690144023,0.00629726133780291,0.0698835578404302,0.093998595335665
"India","Male","35-39",37.5,22.5,"20-24 years","COPD",0.0885444644720247,0.00672662006538038,0.074648345875005,0.100407590472188
"India","Male","35-39",37.5,27.5,"25-29 years","COPD",0.0899574080540251,0.00683395974727475,0.0758395428836487,0.102009839256318
"India","Male","40-44",42.5,2.5,"0-4 years","COPD",0.0177501163859817,0.00155903194975163,0.0145515415559144,0.020607232285793
"India","Male","40-44",42.5,7.5,"5-9 years","COPD",0.0484269479661023,0.00425344586290932,0.0397004014188533,0.05622190547537
"India","Male","40-44",42.5,12.5,"10-14 years","COPD",0.0627042154939572,0.00550744982249215,0.051404902235567,0.0727972879661165
"India","Male","40-44",42.5,17.5,"15-19 years","COPD",0.0679134887811474,0.00596499180774534,0.055675463344368,0.0788450626586862
"India","Male","40-44",42.5,22.5,"20-24 years","COPD",0.0725439539253166,0.00637169579463708,0.0594715176633022,0.0842208623854148
"India","Male","40-44",42.5,27.5,"25-29 years","COPD",0.0737015702113588,0.00647337179136,0.0604205312430357,0.0855648123170969
"India","Male","45-49",47.5,2.5,"0-4 years","COPD",0.0308708920668182,0.00165090969456965,0.0275828564189757,0.0336657937700227
"India","Male","45-49",47.5,7.5,"5-9 years","COPD",0.0842238468344716,0.00450411231888023,0.0752532278387271,0.0918490677856054
"India","Male","45-49",47.5,12.5,"10-14 years","COPD",0.109054781757782,0.00583201794277321,0.0974394384365988,0.118928075818015
"India","Male","45-49",47.5,17.5,"15-19 years","COPD",0.118114717473044,0.00631652404878821,0.105534407168255,0.128808254424435
"India","Male","45-49",47.5,22.5,"20-24 years","COPD",0.126167993664388,0.00674719614302378,0.112729934929727,0.137590635407919
"India","Male","45-49",47.5,27.5,"25-29 years","COPD",0.128181312712223,0.00685486416658266,0.114528816870095,0.13978623065379
"India","Male","50-54",52.5,2.5,"0-4 years","COPD",0.0271946796458296,0.00171411172637009,0.0236560493903541,0.0302874961178946
"India","Male","50-54",52.5,7.5,"5-9 years","COPD",0.0741941803380787,0.0046765439491184,0.0645398738802052,0.0826321904955604
"India","Male","50-54",52.5,12.5,"10-14 years","COPD",0.096068161792333,0.00605528598989434,0.0835675657811422,0.106993872155606
"India","Male","50-54",52.5,17.5,"15-19 years","COPD",0.104049209079696,0.00655834051828557,0.0905101020152678,0.11588259384238
"India","Male","50-54",52.5,22.5,"20-24 years","COPD",0.11114347333513,0.00700550009907777,0.0966812453344906,0.123783679786178
"India","Male","50-54",52.5,27.5,"25-29 years","COPD",0.112917039398988,0.00711728999427581,0.0982240311642963,0.125758951272128
