location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
826,United Kingdom,Breast cancer,2019,5,1 to 4,1,FALSE,1,Male,5,Prevalence,9.0731770253094E-08,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,2,TRUE,1,Male,5,Prevalence,1.27476037400109E-07,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,3,TRUE,1,Male,5,Prevalence,1.8724734146147687E-07,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,4,TRUE,1,Male,5,Prevalence,2.752744303962021E-07,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,1,FALSE,1,Male,6,Incidence,9.0731770253094E-08,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,2,TRUE,1,Male,6,Incidence,7.563611471928907E-08,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,3,TRUE,1,Male,6,Incidence,1.1481691651015451E-07,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,4,TRUE,1,Male,6,Incidence,1.6955898803789763E-07,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,1,TRUE,1,Male,7,remission,0,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,2,TRUE,1,Male,7,remission,0,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,3,TRUE,1,Male,7,remission,0,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,4,TRUE,1,Male,7,remission,0,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,1,TRUE,1,Male,15,mortality,0.42629833901491804,0.5145705589774399,0.5145705589774399
826,United Kingdom,Breast cancer,2019,5,1 to 4,2,TRUE,1,Male,15,mortality,0.4286463341472085,0.5087837339395984,0.5087837339395984
826,United Kingdom,Breast cancer,2019,5,1 to 4,3,TRUE,1,Male,15,mortality,0.43181133438914093,0.5029556518919361,0.5029556518919361
826,United Kingdom,Breast cancer,2019,5,1 to 4,4,TRUE,1,Male,15,mortality,0.4354233641841936,0.49709197981254905,0.49709197981254905
826,United Kingdom,Breast cancer,2019,5,1 to 4,1,FALSE,2,Female,5,Prevalence,6.732215120689073E-07,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,2,TRUE,2,Female,5,Prevalence,9.790324460878177E-07,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,3,TRUE,2,Female,5,Prevalence,1.496538614506632E-06,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,4,TRUE,2,Female,5,Prevalence,2.301042431223103E-06,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,1,FALSE,2,Female,6,Incidence,6.732215120689073E-07,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,2,TRUE,2,Female,6,Incidence,3.9968855368572256E-07,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,3,TRUE,2,Female,6,Incidence,6.550803233638326E-07,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,4,TRUE,2,Female,6,Incidence,1.0166413483930883E-06,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,1,TRUE,2,Female,7,remission,0,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,2,TRUE,2,Female,7,remission,0,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,3,TRUE,2,Female,7,remission,0,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,4,TRUE,2,Female,7,remission,0,0,0
826,United Kingdom,Breast cancer,2019,5,1 to 4,1,TRUE,2,Female,15,mortality,0.1386493475937031,0.16632661906880863,0.16632661906880863
826,United Kingdom,Breast cancer,2019,5,1 to 4,2,TRUE,2,Female,15,mortality,0.13944496559443112,0.16486957523484558,0.16486957523484558
