location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,1,FALSE,1,Male,5,Prevalence,3.53E-06,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,2,TRUE,1,Male,5,Prevalence,3.86E-06,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,3,TRUE,1,Male,5,Prevalence,4.35E-06,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,4,TRUE,1,Male,5,Prevalence,5.01E-06,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,1,FALSE,1,Male,6,Incidence,3.53E-06,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,2,TRUE,1,Male,6,Incidence,1.58E-06,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,3,TRUE,1,Male,6,Incidence,1.87E-06,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,4,TRUE,1,Male,6,Incidence,2.24E-06,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,1,TRUE,1,Male,7,remission,0,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,2,TRUE,1,Male,7,remission,0,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,3,TRUE,1,Male,7,remission,0,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,4,TRUE,1,Male,7,remission,0,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,1,TRUE,1,Male,15,mortality,0.350148957,0.394713771,0.394713771
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,2,TRUE,1,Male,15,mortality,0.353538998,0.397918252,0.397918252
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,3,TRUE,1,Male,15,mortality,0.358279747,0.400788157,0.400788157
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,4,TRUE,1,Male,15,mortality,0.364009197,0.403334111,0.403334111
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,1,FALSE,2,Female,5,Prevalence,2.75E-06,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,2,TRUE,2,Female,5,Prevalence,3.03E-06,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,3,TRUE,2,Female,5,Prevalence,3.45E-06,0,0
826,United Kingdom,Colon and rectum cancer,2019,5,1 to 4,4,TRUE,2,Female,5,Prevalence,4.01E-06,0,0
