location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
356,India,Lower respiratory infections,2021,6,5-9 years,5,TRUE,1,Male,5,prevalence,0.001157825,0.000904188,0.001486998
356,India,Lower respiratory infections,2021,6,5-9 years,5,TRUE,1,Male,6,incidence,0.049910333,0.038736935,0.064120796
356,India,Lower respiratory infections,2021,6,5-9 years,5,TRUE,1,Male,15,mortality,0.018880889,0.018084693,0.019024902
356,India,Lower respiratory infections,2021,6,5-9 years,5,TRUE,1,Male,7,remission,1,1,1
356,India,Lower respiratory infections,2021,6,5-9 years,6,TRUE,1,Male,5,prevalence,0.001157825,0.000904188,0.001486998
356,India,Lower respiratory infections,2021,6,5-9 years,6,TRUE,1,Male,6,incidence,0.049910333,0.038736935,0.064120796
356,India,Lower respiratory infections,2021,6,5-9 years,6,TRUE,1,Male,15,mortality,0.018880889,0.018084693,0.019024902
356,India,Lower respiratory infections,2021,6,5-9 years,6,TRUE,1,Male,7,remission,1,1,1
356,India,Lower respiratory infections,2021,6,5-9 years,7,TRUE,1,Male,5,prevalence,0.001157825,0.000904188,0.001486998
356,India,Lower respiratory infections,2021,6,5-9 years,7,TRUE,1,Male,6,incidence,0.049910333,0.038736935,0.064120796
356,India,Lower respiratory infections,2021,6,5-9 years,7,TRUE,1,Male,15,mortality,0.018880889,0.018084693,0.019024902
356,India,Lower respiratory infections,2021,6,5-9 years,7,TRUE,1,Male,7,remission,1,1,1
356,India,Lower respiratory infections,2021,6,5-9 years,8,TRUE,1,Male,5,prevalence,0.001157825,0.000904188,0.001486998
356,India,Lower respiratory infections,2021,6,5-9 years,8,TRUE,1,Male,6,incidence,0.049910333,0.038736935,0.064120796
356,India,Lower respiratory infections,2021,6,5-9 years,8,TRUE,1,Male,15,mortality,0.018880889,0.018084693,0.019024902
356,India,Lower respiratory infections,2021,6,5-9 years,8,TRUE,1,Male,7,remission,1,1,1
356,India,Lower respiratory infections,2021,6,5-9 years,9,TRUE,1,Male,5,prevalence,0.001157825,0.000904188,0.001486998
356,India,Lower respiratory infections,2021,6,5-9 years,9,TRUE,1,Male,6,incidence,0.049910333,0.038736935,0.064120796
356,India,Lower respiratory infections,2021,6,5-9 years,9,TRUE,1,Male,15,mortality,0.018880889,0.018084693,0.019024902
356,India,Lower respiratory infections,2021,6,5-9 years,9,TRUE,1,Male,7,remission,1,1,1
356,India,Lower respiratory infections,2021,6,5-9 years,5,TRUE,2,Female,5,prevalence,0.00104578,0.00082326,0.001303011
356,India,Lower respiratory infections,2021,6,5-9 years,5,TRUE,2,Female,6,incidence,0.0450748,0.035664974,0.056258121
356,India,Lower respiratory infections,2021,6,5-9 years,5,TRUE,2,Female,15,mortality,0.025920514,0.023405802,0.0278064
356,India,Lower respiratory infections,2021,6,5-9 years,5,TRUE,2,Female,7,remission,1,1,1
356,India,Lower respiratory infections,2021,6,5-9 years,6,TRUE,2,Female,5,prevalence,0.00104578,0.00082326,0.001303011
356,India,Lower respiratory infections,2021,6,5-9 years,6,TRUE,2,Female,6,incidence,0.0450748,0.035664974,0.056258121
356,India,Lower respiratory infections,2021,6,5-9 years,6,TRUE,2,Female,15,mortality,0.025920514,0.023405802,0.0278064
356,India,Lower respiratory infections,2021,6,5-9 years,6,TRUE,2,Female,7,remission,1,1,1
356,India,Lower respiratory infections,2021,6,5-9 years,7,TRUE,2,Female,5,prevalence,0.00104578,0.00082326,0.001303011
356,India,Lower respiratory infections,2021,6,5-9 years,7,TRUE,2,Female,6,incidence,0.0450748,0.035664974,0.056258121
356,India,Lower respiratory infections,2021,6,5-9 years,7,TRUE,2,Female,15,mortality,0.025920514,0.023405802,0.0278064
356,India,Lower respiratory infections,2021,6,5-9 years,7,TRUE,2,Female,7,remission,1,1,1
356,India,Lower respiratory infections,2021,6,5-9 years,8,TRUE,2,Female,5,prevalence,0.00104578,0.00082326,0.001303011
356,India,Lower respiratory infections,2021,6,5-9 years,8,TRUE,2,Female,6,incidence,0.0450748,0.035664974,0.056258121
356,India,Lower respiratory infections,2021,6,5-9 years,8,TRUE,2,Female,15,mortality,0.025920514,0.023405802,0.0278064
356,India,Lower respiratory infections,2021,6,5-9 years,8,TRUE,2,Female,7,remission,1,1,1
356,India,Lower respiratory infections,2021,6,5-9 years,9,TRUE,2,Female,5,prevalence,0.00104578,0.00082326,0.001303011
356,India,Lower respiratory infections,2021,6,5-9 years,9,TRUE,2,Female,6,incidence,0.0450748,0.035664974,0.056258121
356,India,Lower respiratory infections,2021,6,5-9 years,9,TRUE,2,Female,15,mortality,0.025920514,0.023405802,0.0278064
356,India,Lower respiratory infections,2021,6,5-9 years,9,TRUE,2,Female,7,remission,1,1,1
356,India,Lower respiratory infections,2021,7,10-14 years,10,TRUE,1,Male,5,prevalence,0.000827816,0.00063352,0.001075401
356,India,Lower respiratory infections,2021,7,10-14 years,10,TRUE,1,Male,6,incidence,0.037066339,0.028444187,0.048096478
356,India,Lower respiratory infections,2021,7,10-14 years,10,TRUE,1,Male,15,mortality,0.02087857,0.022196429,0.019850936
356,India,Lower respiratory infections,2021,7,10-14 years,10,TRUE,1,Male,7,remission,1,1,1
356,India,Lower respiratory infections,2021,7,10-14 years,11,TRUE,1,Male,5,prevalence,0.000827816,0.00063352,0.001075401
356,India,Lower respiratory infections,2021,7,10-14 years,11,TRUE,1,Male,6,incidence,0.037066339,0.028444187,0.048096478
356,India,Lower respiratory infections,2021,7,10-14 years,11,TRUE,1,Male,15,mortality,0.02087857,0.022196429,0.019850936
356,India,Lower respiratory infections,2021,7,10-14 years,11,TRUE,1,Male,7,remission,1,1,1
356,India,Lower respiratory infections,2021,7,10-14 years,12,TRUE,1,Male,5,prevalence,0.000827816,0.00063352,0.001075401
356,India,Lower respiratory infections,2021,7,10-14 years,12,TRUE,1,Male,6,incidence,0.037066339,0.028444187,0.048096478
356,India,Lower respiratory infections,2021,7,10-14 years,12,TRUE,1,Male,15,mortality,0.02087857,0.022196429,0.019850936
356,India,Lower respiratory infections,2021,7,10-14 years,12,TRUE,1,Male,7,remission,1,1,1
356,India,Lower respiratory infections,2021,7,10-14 years,13,TRUE,1,Male,5,prevalence,0.000827816,0.00063352,0.001075401
356,India,Lower respiratory infections,2021,7,10-14 years,13,TRUE,1,Male,6,incidence,0.037066339,0.028444187,0.048096478
356,India,Lower respiratory infections,2021,7,10-14 years,13,TRUE,1,Male,15,mortality,0.02087857,0.022196429,0.019850936
356,India,Lower respiratory infections,2021,7,10-14 years,13,TRUE,1,Male,7,remission,1,1,1
356,India,Lower respiratory infections,2021,7,10-14 years,14,TRUE,1,Male,5,prevalence,0.000827816,0.00063352,0.001075401
356,India,Lower respiratory infections,2021,7,10-14 years,14,TRUE,1,Male,6,incidence,0.037066339,0.028444187,0.048096478
356,India,Lower respiratory infections,2021,7,10-14 years,14,TRUE,1,Male,15,mortality,0.02087857,0.022196429,0.019850936
356,India,Lower respiratory infections,2021,7,10-14 years,14,TRUE,1,Male,7,remission,1,1,1
356,India,Lower respiratory infections,2021,7,10-14 years,10,TRUE,2,Female,5,prevalence,0.000689206,0.000538952,0.000862062
356,India,Lower respiratory infections,2021,7,10-14 years,10,TRUE,2,Female,6,incidence,0.030481616,0.023662427,0.038724666
356,India,Lower respiratory infections,2021,7,10-14 years,10,TRUE,2,Female,15,mortality,0.044238207,0.041732763,0.046264986
356,India,Lower respiratory infections,2021,7,10-14 years,10,TRUE,2,Female,7,remission,1,1,1
356,India,Lower respiratory infections,2021,7,10-14 years,11,TRUE,2,Female,5,prevalence,0.000689206,0.000538952,0.000862062
356,India,Lower respiratory infections,2021,7,10-14 years,11,TRUE,2,Female,6,incidence,0.030481616,0.023662427,0.038724666
356,India,Lower respiratory infections,2021,7,10-14 years,11,TRUE,2,Female,15,mortality,0.044238207,0.041732763,0.046264986
356,India,Lower respiratory infections,2021,7,10-14 years,11,TRUE,2,Female,7,remission,1,1,1
356,India,Lower respiratory infections,2021,7,10-14 years,12,TRUE,2,Female,5,prevalence,0.000689206,0.000538952,0.000862062
356,India,Lower respiratory infections,2021,7,10-14 years,12,TRUE,2,Female,6,incidence,0.030481616,0.023662427,0.038724666
356,India,Lower respiratory infections,2021,7,10-14 years,12,TRUE,2,Female,15,mortality,0.044238207,0.041732763,0.046264986
356,India,Lower respiratory infections,2021,7,10-14 years,12,TRUE,2,Female,7,remission,1,1,1
356,India,Lower respiratory infections,2021,7,10-14 years,13,TRUE,2,Female,5,prevalence,0.000689206,0.000538952,0.000862062
356,India,Lower respiratory infections,2021,7,10-14 years,13,TRUE,2,Female,6,incidence,0.030481616,0.023662427,0.038724666
356,India,Lower respiratory infections,2021,7,10-14 years,13,TRUE,2,Female,15,mortality,0.044238207,0.041732763,0.046264986
356,India,Lower respiratory infections,2021,7,10-14 years,13,TRUE,2,Female,7,remission,1,1,1
356,India,Lower respiratory infections,2021,7,10-14 years,14,TRUE,2,Female,5,prevalence,0.000689206,0.000538952,0.000862062
356,India,Lower respiratory infections,2021,7,10-14 years,14,TRUE,2,Female,6,incidence,0.030481616,0.023662427,0.038724666
356,India,Lower respiratory infections,2021,7,10-14 years,14,TRUE,2,Female,15,mortality,0.044238207,0.041732763,0.046264986
356,India,Lower respiratory infections,2021,7,10-14 years,14,TRUE,2,Female,7,remission,1,1,1
356,India,Lower respiratory infections,2021,8,15-19 years,15,TRUE,1,Male,5,prevalence,0.000820024,0.000679519,0.000977866
356,India,Lower respiratory infections,2021,8,15-19 years,15,TRUE,1,Male,6,incidence,0.036594847,0.029957159,0.044188062
356,India,Lower respiratory infections,2021,8,15-19 years,15,TRUE,1,Male,15,mortality,0.019580116,0.019092432,0.02045303
356,India,Lower respiratory infections,2021,8,15-19 years,15,TRUE,1,Male,7,remission,1,1,1
