location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,1,FALSE,1,Male,5,Prevalence,1.72E-10,0,0
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,2,TRUE,1,Male,5,Prevalence,4.53E-10,0,0
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,3,TRUE,1,Male,5,Prevalence,1.18E-09,0,0
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,4,TRUE,1,Male,5,Prevalence,2.96E-09,0,0
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,1,FALSE,1,Male,6,Incidence,1.72E-10,0,0
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,2,TRUE,1,Male,6,Incidence,2.86E-10,0,0
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,3,TRUE,1,Male,6,Incidence,7.38E-10,0,0
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,4,TRUE,1,Male,6,Incidence,1.81E-09,0,0
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,1,FALSE,1,Male,7,remission,0.0264505,0.038498623,0.0235683
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,2,TRUE,1,Male,7,remission,0.026725397,0.038498623,0.0235683
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,3,TRUE,1,Male,7,remission,0.027112609,0.038498623,0.0235683
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,4,TRUE,1,Male,7,remission,0.027585733,0.038498623,0.0235683
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,1,FALSE,1,Male,15,mortality,0,0,0
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,2,TRUE,1,Male,15,mortality,0,0,0
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,3,TRUE,1,Male,15,mortality,0,0,0
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,4,TRUE,1,Male,15,mortality,0,0,0
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,1,FALSE,2,Female,5,Prevalence,2.22E-10,0,0
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,2,TRUE,2,Female,5,Prevalence,5.86E-10,0,0
826,United Kingdom,Osteoarthritis of the knee,2019,5,1 to 4,3,TRUE,2,Female,5,Prevalence,1.52E-09,0,0
