location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
356,India,Road injuries,2021,6,5-9 years,5,TRUE,1,Male,5,prevalence,0.000724553,0.000642572,0.000811778
356,India,Road injuries,2021,6,5-9 years,5,TRUE,1,Male,6,incidence,0.001137209,0.000771754,0.001572249
356,India,Road injuries,2021,6,5-9 years,5,TRUE,1,Male,15,mortality,0.022379891,0.019068681,0.025898142
356,India,Road injuries,2021,6,5-9 years,5,TRUE,1,Male,7,remission,1,1,1
356,India,Road injuries,2021,6,5-9 years,6,TRUE,1,Male,5,prevalence,0.000724553,0.000642572,0.000811778
356,India,Road injuries,2021,6,5-9 years,6,TRUE,1,Male,6,incidence,0.001137209,0.000771754,0.001572249
356,India,Road injuries,2021,6,5-9 years,6,TRUE,1,Male,15,mortality,0.022379891,0.019068681,0.025898142
356,India,Road injuries,2021,6,5-9 years,6,TRUE,1,Male,7,remission,1,1,1
356,India,Road injuries,2021,6,5-9 years,7,TRUE,1,Male,5,prevalence,0.000724553,0.000642572,0.000811778
356,India,Road injuries,2021,6,5-9 years,7,TRUE,1,Male,6,incidence,0.001137209,0.000771754,0.001572249
356,India,Road injuries,2021,6,5-9 years,7,TRUE,1,Male,15,mortality,0.022379891,0.019068681,0.025898142
356,India,Road injuries,2021,6,5-9 years,7,TRUE,1,Male,7,remission,1,1,1
356,India,Road injuries,2021,6,5-9 years,8,TRUE,1,Male,5,prevalence,0.000724553,0.000642572,0.000811778
356,India,Road injuries,2021,6,5-9 years,8,TRUE,1,Male,6,incidence,0.001137209,0.000771754,0.001572249
356,India,Road injuries,2021,6,5-9 years,8,TRUE,1,Male,15,mortality,0.022379891,0.019068681,0.025898142
356,India,Road injuries,2021,6,5-9 years,8,TRUE,1,Male,7,remission,1,1,1
356,India,Road injuries,2021,6,5-9 years,9,TRUE,1,Male,5,prevalence,0.000724553,0.000642572,0.000811778
356,India,Road injuries,2021,6,5-9 years,9,TRUE,1,Male,6,incidence,0.001137209,0.000771754,0.001572249
356,India,Road injuries,2021,6,5-9 years,9,TRUE,1,Male,15,mortality,0.022379891,0.019068681,0.025898142
356,India,Road injuries,2021,6,5-9 years,9,TRUE,1,Male,7,remission,1,1,1
356,India,Road injuries,2021,6,5-9 years,5,TRUE,2,Female,5,prevalence,0.000964991,0.000862691,0.001060294
356,India,Road injuries,2021,6,5-9 years,5,TRUE,2,Female,6,incidence,0.001202924,0.000825748,0.001636036
