location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
356,India,Self-harm,2021,6,5-9 years,5,TRUE,1,Male,5,prevalence,0,0,0
356,India,Self-harm,2021,6,5-9 years,5,TRUE,1,Male,6,incidence,0,0,0
356,India,Self-harm,2021,6,5-9 years,5,TRUE,1,Male,15,mortality,0,0,0
356,India,Self-harm,2021,6,5-9 years,5,TRUE,1,Male,7,remission,0,0,0
356,India,Self-harm,2021,6,5-9 years,6,TRUE,1,Male,5,prevalence,0,0,0
356,India,Self-harm,2021,6,5-9 years,6,TRUE,1,Male,6,incidence,0,0,0
356,India,Self-harm,2021,6,5-9 years,6,TRUE,1,Male,15,mortality,0,0,0
356,India,Self-harm,2021,6,5-9 years,6,TRUE,1,Male,7,remission,0,0,0
356,India,Self-harm,2021,6,5-9 years,7,TRUE,1,Male,5,prevalence,0,0,0
356,India,Self-harm,2021,6,5-9 years,7,TRUE,1,Male,6,incidence,0,0,0
356,India,Self-harm,2021,6,5-9 years,7,TRUE,1,Male,15,mortality,0,0,0
356,India,Self-harm,2021,6,5-9 years,7,TRUE,1,Male,7,remission,0,0,0
356,India,Self-harm,2021,6,5-9 years,8,TRUE,1,Male,5,prevalence,0,0,0
356,India,Self-harm,2021,6,5-9 years,8,TRUE,1,Male,6,incidence,0,0,0
356,India,Self-harm,2021,6,5-9 years,8,TRUE,1,Male,15,mortality,0,0,0
356,India,Self-harm,2021,6,5-9 years,8,TRUE,1,Male,7,remission,0,0,0
356,India,Self-harm,2021,6,5-9 years,9,TRUE,1,Male,5,prevalence,0,0,0
356,India,Self-harm,2021,6,5-9 years,9,TRUE,1,Male,6,incidence,0,0,0
356,India,Self-harm,2021,6,5-9 years,9,TRUE,1,Male,15,mortality,0,0,0
356,India,Self-harm,2021,6,5-9 years,9,TRUE,1,Male,7,remission,0,0,0
356,India,Self-harm,2021,6,5-9 years,5,TRUE,2,Female,5,prevalence,0,0,0
356,India,Self-harm,2021,6,5-9 years,5,TRUE,2,Female,6,incidence,0,0,0
356,India,Self-harm,2021,6,5-9 years,5,TRUE,2,Female,15,mortality,0,0,0
356,India,Self-harm,2021,6,5-9 years,5,TRUE,2,Female,7,remission,0,0,0
356,India,Self-harm,2021,6,5-9 years,6,TRUE,2,Female,5,prevalence,0,0,0
356,India,Self-harm,2021,6,5-9 years,6,TRUE,2,Female,6,incidence,0,0,0
356,India,Self-harm,2021,6,5-9 years,6,TRUE,2,Female,15,mortality,0,0,0
356,India,Self-harm,2021,6,5-9 years,6,TRUE,2,Female,7,remission,0,0,0
356,India,Self-harm,2021,6,5-9 years,7,TRUE,2,Female,5,prevalence,0,0,0
356,India,Self-harm,2021,6,5-9 years,7,TRUE,2,Female,6,incidence,0,0,0
356,India,Self-harm,2021,6,5-9 years,7,TRUE,2,Female,15,mortality,0,0,0
356,India,Self-harm,2021,6,5-9 years,7,TRUE,2,Female,7,remission,0,0,0
356,India,Self-harm,2021,6,5-9 years,8,TRUE,2,Female,5,prevalence,0,0,0
356,India,Self-harm,2021,6,5-9 years,8,TRUE,2,Female,6,incidence,0,0,0
356,India,Self-harm,2021,6,5-9 years,8,TRUE,2,Female,15,mortality,0,0,0
356,India,Self-harm,2021,6,5-9 years,8,TRUE,2,Female,7,remission,0,0,0
356,India,Self-harm,2021,6,5-9 years,9,TRUE,2,Female,5,prevalence,0,0,0
356,India,Self-harm,2021,6,5-9 years,9,TRUE,2,Female,6,incidence,0,0,0
356,India,Self-harm,2021,6,5-9 years,9,TRUE,2,Female,15,mortality,0,0,0
356,India,Self-harm,2021,6,5-9 years,9,TRUE,2,Female,7,remission,0,0,0
356,India,Self-harm,2021,7,10-14 years,10,TRUE,1,Male,5,prevalence,7.49E-05,5.53E-05,9.91E-05
356,India,Self-harm,2021,7,10-14 years,10,TRUE,1,Male,6,incidence,0.000236539,0.000121697,0.000410373
356,India,Self-harm,2021,7,10-14 years,10,TRUE,1,Male,15,mortality,0.172193515,0.183824981,0.172039671
356,India,Self-harm,2021,7,10-14 years,10,TRUE,1,Male,7,remission,1,1,1
356,India,Self-harm,2021,7,10-14 years,11,TRUE,1,Male,5,prevalence,7.49E-05,5.53E-05,9.91E-05
356,India,Self-harm,2021,7,10-14 years,11,TRUE,1,Male,6,incidence,0.000236539,0.000121697,0.000410373
356,India,Self-harm,2021,7,10-14 years,11,TRUE,1,Male,15,mortality,0.172193515,0.183824981,0.172039671
356,India,Self-harm,2021,7,10-14 years,11,TRUE,1,Male,7,remission,1,1,1
356,India,Self-harm,2021,7,10-14 years,12,TRUE,1,Male,5,prevalence,7.49E-05,5.53E-05,9.91E-05
356,India,Self-harm,2021,7,10-14 years,12,TRUE,1,Male,6,incidence,0.000236539,0.000121697,0.000410373
356,India,Self-harm,2021,7,10-14 years,12,TRUE,1,Male,15,mortality,0.172193515,0.183824981,0.172039671
356,India,Self-harm,2021,7,10-14 years,12,TRUE,1,Male,7,remission,1,1,1
356,India,Self-harm,2021,7,10-14 years,13,TRUE,1,Male,5,prevalence,7.49E-05,5.53E-05,9.91E-05
356,India,Self-harm,2021,7,10-14 years,13,TRUE,1,Male,6,incidence,0.000236539,0.000121697,0.000410373
356,India,Self-harm,2021,7,10-14 years,13,TRUE,1,Male,15,mortality,0.172193515,0.183824981,0.172039671
356,India,Self-harm,2021,7,10-14 years,13,TRUE,1,Male,7,remission,1,1,1
356,India,Self-harm,2021,7,10-14 years,14,TRUE,1,Male,5,prevalence,7.49E-05,5.53E-05,9.91E-05
356,India,Self-harm,2021,7,10-14 years,14,TRUE,1,Male,6,incidence,0.000236539,0.000121697,0.000410373
356,India,Self-harm,2021,7,10-14 years,14,TRUE,1,Male,15,mortality,0.172193515,0.183824981,0.172039671
356,India,Self-harm,2021,7,10-14 years,14,TRUE,1,Male,7,remission,1,1,1
356,India,Self-harm,2021,7,10-14 years,10,TRUE,2,Female,5,prevalence,0.000162472,0.000123716,0.000212821
356,India,Self-harm,2021,7,10-14 years,10,TRUE,2,Female,6,incidence,0.000663301,0.000343024,0.001144224
356,India,Self-harm,2021,7,10-14 years,10,TRUE,2,Female,15,mortality,0.140935637,0.130844517,0.140211836
356,India,Self-harm,2021,7,10-14 years,10,TRUE,2,Female,7,remission,1,1,1
356,India,Self-harm,2021,7,10-14 years,11,TRUE,2,Female,5,prevalence,0.000162472,0.000123716,0.000212821
356,India,Self-harm,2021,7,10-14 years,11,TRUE,2,Female,6,incidence,0.000663301,0.000343024,0.001144224
