"LocID","Location","VarID","Variant","Time","Births","SRB","LEx","LExMale","LExFemale","Deaths","DeathsMale","DeathsFemale","NetMigrations"
56,"Belgium",4,"Median",1950,143917,1.058,66.3066,63.8146,68.886,108029,57337,50692,4699
56,"Belgium",4,"Median",1951,141161,1.058,66.7477,64.2907,69.2812,109738,57977,51761,4614
56,"Belgium",4,"Median",1952,144300,1.061,67.9672,65.538,70.4585,104162,55442,48720,5588
56,"Belgium",4,"Median",1953,145260,1.06,68.3562,65.877,70.901,105744,56282,49461,5195
56,"Belgium",4,"Median",1954,147320,1.057,68.5934,66.1079,71.1338,104988,55740,49248,6009
56,"Belgium",4,"Median",1955,148095,1.055,68.5455,65.9269,71.238,108638,57821,50817,6433
56,"Belgium",4,"Median",1956,149662,1.056,68.8383,66.1399,71.6137,108739,57855,50884,6525
56,"Belgium",4,"Median",1957,152133,1.061,69.1981,66.5514,71.9084,107672,57319,50353,7473
56,"Belgium",4,"Median",1958,154302,1.061,69.9086,67.2871,72.578,106022,56308,49713,8309
56,"Belgium",4,"Median",1959,157117,1.059,70.3138,67.6034,73.0727,103875,55359,48515,9407
56,"Belgium",4,"Median",1960,154221,1.059,69.6237,66.707,72.6406,113905,60968,52937,9893
56,"Belgium",4,"Median",1961,158198,1.059,70.498,67.547,73.5293,106893,57370,49522,10566
56,"Belgium",4,"Median",1962,154956,1.059,70.2272,67.3931,73.1292,112737,60052,52685,14829
56,"Belgium",4,"Median",1963,158499,1.058,70.0424,67.0905,73.089,116850,62359,54490,16355
56,"Belgium",4,"Median",1964,159381,1.058,70.7055,67.7027,73.7854,110101,58936,51165,17687
56,"Belgium",4,"Median",1965,154171,1.058,70.5551,67.5614,73.6363,115032,61511,53521,18243
56,"Belgium",4,"Median",1966,149504,1.057,70.6308,67.6678,73.6661,115573,61403,54170,18985
56,"Belgium",4,"Median",1967,144487,1.059,70.9133,67.8377,74.0787,115059,61461,53597,19492
56,"Belgium",4,"Median",1968,140520,1.059,70.609,67.5438,73.7769,121697,64646,57051,19809
