"LocID","Location","VarID","Variant","Age","Time","DeathMale","DeathFemale","DeathTotal"
56,"Belgium",4,"Median","0",1950,4392,3243,7634
56,"Belgium",4,"Median","1",1950,273,205,478
56,"Belgium",4,"Median","2",1950,153,107,259
56,"Belgium",4,"Median","3",1950,116,83,200
56,"Belgium",4,"Median","4",1950,70,55,125
56,"Belgium",4,"Median","5",1950,47,39,86
56,"Belgium",4,"Median","6",1950,43,29,72
56,"Belgium",4,"Median","7",1950,37,30,67
56,"Belgium",4,"Median","8",1950,25,18,43
56,"Belgium",4,"Median","9",1950,35,27,62
56,"Belgium",4,"Median","10",1950,42,28,69
56,"Belgium",4,"Median","11",1950,39,23,61
56,"Belgium",4,"Median","12",1950,28,27,55
56,"Belgium",4,"Median","13",1950,33,22,55
56,"Belgium",4,"Median","14",1950,58,33,92
56,"Belgium",4,"Median","15",1950,56,51,107
56,"Belgium",4,"Median","16",1950,73,29,102
56,"Belgium",4,"Median","17",1950,77,49,126
56,"Belgium",4,"Median","18",1950,80,48,127
56,"Belgium",4,"Median","19",1950,113,72,185
56,"Belgium",4,"Median","20",1950,117,65,182
56,"Belgium",4,"Median","21",1950,124,63,187
56,"Belgium",4,"Median","22",1950,135,76,212
56,"Belgium",4,"Median","23",1950,134,79,213
56,"Belgium",4,"Median","24",1950,133,105,239
56,"Belgium",4,"Median","25",1950,142,91,233
56,"Belgium",4,"Median","26",1950,177,101,278
56,"Belgium",4,"Median","27",1950,159,94,253
56,"Belgium",4,"Median","28",1950,172,106,278
56,"Belgium",4,"Median","29",1950,183,106,289
56,"Belgium",4,"Median","30",1950,137,94,232
56,"Belgium",4,"Median","31",1950,119,87,206
56,"Belgium",4,"Median","32",1950,96,60,155
56,"Belgium",4,"Median","33",1950,82,82,164
56,"Belgium",4,"Median","34",1950,187,96,283
56,"Belgium",4,"Median","35",1950,145,119,265
56,"Belgium",4,"Median","36",1950,192,131,322
56,"Belgium",4,"Median","37",1950,228,167,396
56,"Belgium",4,"Median","38",1950,229,153,382
56,"Belgium",4,"Median","39",1950,218,174,392
56,"Belgium",4,"Median","40",1950,256,174,429
56,"Belgium",4,"Median","41",1950,275,193,468
56,"Belgium",4,"Median","42",1950,296,194,491
56,"Belgium",4,"Median","43",1950,333,228,561
56,"Belgium",4,"Median","44",1950,386,213,599
56,"Belgium",4,"Median","45",1950,410,277,687
56,"Belgium",4,"Median","46",1950,454,273,727
56,"Belgium",4,"Median","47",1950,493,282,774
